sigma,geometry,density,guidance
0.0031622776601683794,252.27970044521211,1.1515606658929496,252.12012525033253
0.004806380863064389,165.82799413945392,1.1522725231881457,165.72510361394197
0.007305271542664456,109.2120266944827,1.1523358150710363,109.3340564121399
0.011103363181676379,71.93108589042149,1.1518054861175104,71.86080005163247
0.01687612475788148,47.325001065252906,1.1509185691078985,47.24990601504792
0.025650209056800457,31.17387669359242,1.150658322504707,31.06911926761648
0.038986037025490715,20.516769777737974,1.147557516408533,20.42141259939289
0.05925530975545678,13.583399792371509,1.141601644046988,13.391834389314194
0.09006280202112786,9.02560611489636,1.128444269595536,8.752001675996214
0.13688745095370813,6.0767638707951495,1.0968923837782105,5.662444142969693
0.20805675382171715,4.213005092647187,1.026767036444048,3.574731242198345
0.31622776601683794,3.112411635437468,0.8733144454192885,2.112440791061241
